Tick,Commodity,GlobalPrice,NationalPrice,Production,Demand,Inventory
405,METAL,75.90884,77.17338,80,75.68349,NaN
406,ENERGY,101.570465,100.33018,80,76.18561,NaN
406,FOOD,49.50577,48.876934,80,76.386154,NaN
406,METAL,75.31245,76.567055,80,75.68349,NaN
407,ENERGY,100.96045,99.727615,80,76.18561,NaN
407,FOOD,49.20876,48.583694,80,76.386154,NaN
407,METAL,77.71831,79.01299,80,75.68349,NaN
408,ENERGY,99.96632,98.74562,80,76.18561,NaN
408,FOOD,51.305367,50.65367,80,76.386154,NaN
408,METAL,77.10218,78.3866,80,75.68349,NaN
409,ENERGY,97.15658,95.97019,80,76.18561,NaN
409,FOOD,51.16734,50.5174,80,76.386154,NaN
409,METAL,78.16829,79.47047,80,75.68349,NaN
410,ENERGY,96.24275,95.06752,80,76.18561,NaN
410,FOOD,50.063473,49.42755,80,76.386154,NaN
410,METAL,76.17173,77.44065,80,75.68349,NaN
411,ENERGY,93.669876,92.52606,80,76.18561,NaN
411,FOOD,50.590546,49.94793,80,76.386154,NaN
411,METAL,77.86386,79.16097,80,75.68349,NaN
412,ENERGY,95.94242,94.77086,80,76.18561,NaN
412,FOOD,51.038933,50.39062,80,76.386154,NaN
412,METAL,77.18307,78.468834,80,75.68349,NaN
413,ENERGY,95.11121,93.94981,80,76.18561,NaN
413,FOOD,50.31998,49.6808,80,76.386154,NaN
413,METAL,76.594955,77.870926,80,75.68349,NaN
414,ENERGY,97.02739,95.84258,80,76.18561,NaN
414,FOOD,50.348194,49.708656,80,76.386154,NaN
414,METAL,79.45878,80.782455,80,75.68349,NaN
415,ENERGY,95.97015,94.798256,80,76.18561,NaN
415,FOOD,51.242817,50.591915,80,76.386154,NaN
415,METAL,79.719086,81.0471,80,75.68349,NaN
416,ENERGY,97.66987,96.47721,80,76.18561,NaN
416,FOOD,51.979233,51.318977,80,76.386154,NaN
416,METAL,78.98744,80.30327,80,75.68349,NaN
417,ENERGY,97.18163,95.99494,80,76.18561,NaN
417,FOOD,52.443184,51.777035,80,76.386154,NaN
417,METAL,79.03331,80.3499,80,75.68349,NaN
418,ENERGY,97.16147,95.97502,80,76.18561,NaN
418,FOOD,51.581944,50.926735,80,76.386154,NaN
418,METAL,77.41115,78.700714,80,75.68349,NaN
419,ENERGY,96.162,94.98776,80,76.18561,NaN
419,FOOD,50.455444,49.814545,80,76.386154,NaN
419,METAL,77.73469,79.02964,80,75.68349,NaN
420,ENERGY,100.96045,99.727615,80,76.18561,NaN
420,FOOD,50.390774,49.750694,80,76.386154,NaN
420,METAL,78.065506,79.365974,80,75.68349,NaN
421,ENERGY,102,100.75447,80,76.18561,NaN
421,FOOD,52.17045,51.507763,80,76.386154,NaN
421,METAL,78.65365,79.96391,80,75.68349,NaN
422,ENERGY,99.93118,98.710915,80,76.18561,NaN
422,FOOD,51.750298,51.09295,80,76.386154,NaN
422,METAL,81.934494,83.299416,80,75.68349,NaN
423,ENERGY,103.10618,101.84714,80,76.18561,NaN
423,FOOD,50.075592,49.439518,80,76.386154,NaN
423,METAL,82.26532,83.63575,80,75.68349,NaN
424,ENERGY,104.75985,103.48062,80,76.18561,NaN
424,FOOD,51.030983,50.382774,80,76.386154,NaN
424,METAL,79.388855,80.711365,80,75.68349,NaN
425,ENERGY,101.71573,100.47367,80,76.18561,NaN
425,FOOD,50.365627,49.72587,80,76.386154,NaN
425,METAL,81.38775,82.74356,80,75.68349,NaN
426,ENERGY,105.88466,104.59169,80,76.18561,NaN
426,FOOD,49.8539,49.220642,80,76.386154,NaN
426,METAL,82.17406,83.54297,80,75.68349,NaN
427,ENERGY,102.75529,101.500534,80,76.18561,NaN
427,FOOD,51.17948,50.529385,80,76.386154,NaN
427,METAL,81.9841,83.349846,80,75.68349,NaN
428,ENERGY,105.99766,104.70331,80,76.18561,NaN
428,FOOD,50.484097,49.842834,80,76.386154,NaN
428,METAL,82.97502,84.35728,80,75.68349,NaN
429,ENERGY,103.8418,102.57378,80,76.18561,NaN
429,FOOD,49.50336,48.874554,80,76.386154,NaN
429,METAL,82.22101,83.5907,80,75.68349,NaN
430,ENERGY,106.75528,105.45168,80,76.18561,NaN
430,FOOD,49.03038,48.40758,80,76.386154,NaN
430,METAL,81.3808,82.736496,80,75.68349,NaN
431,ENERGY,105.914345,104.62102,80,76.18561,NaN
431,FOOD,50.11412,49.47756,80,76.386154,NaN
431,METAL,81.17128,82.52348,80,75.68349,NaN
432,ENERGY,102.24733,100.99878,80,76.18561,NaN
432,FOOD,48.29579,47.682323,80,76.386154,NaN
432,METAL,84.27078,85.67462,80,75.68349,NaN
433,ENERGY,104.93893,103.65751,80,76.18561,NaN
433,FOOD,49.57421,48.944504,80,76.386154,NaN
433,METAL,84.64339,86.05344,80,75.68349,NaN
434,ENERGY,102.01924,100.773476,80,76.18561,NaN
434,FOOD,49.15129,48.52696,80,76.386154,NaN
434,METAL,81.530075,82.88826,80,75.68349,NaN
435,ENERGY,99.03955,97.83017,80,76.18561,NaN
435,FOOD,48.8443,48.223866,80,76.386154,NaN
435,METAL,84.42534,85.83175,80,75.68349,NaN
436,ENERGY,98.029236,96.83219,80,76.18561,NaN
436,FOOD,47.985252,47.37573,80,76.386154,NaN
436,METAL,82.12607,83.49418,80,75.68349,NaN
437,ENERGY,100.96045,99.727615,80,76.18561,NaN
437,FOOD,48.10737,47.496296,80,76.386154,NaN
437,METAL,82.420044,83.79305,80,75.68349,NaN
438,ENERGY,96.814285,95.63208,80,76.18561,NaN
438,FOOD,48.50992,47.89373,80,76.386154,NaN
438,METAL,81.530075,82.88826,80,75.68349,NaN
439,ENERGY,97.87237,96.67724,80,76.18561,NaN
439,FOOD,49.198223,48.57329,80,76.386154,NaN
439,METAL,84.24348,85.64686,80,75.68349,NaN
440,ENERGY,98.28427,97.084114,80,76.18561,NaN
440,FOOD,48.900723,48.27957,80,76.386154,NaN
440,METAL,84.523346,85.93139,80,75.68349,NaN
441,ENERGY,94.14957,92.9999,80,76.18561,NaN
441,FOOD,47.52279,46.91914,80,76.386154,NaN
441,METAL,83.40889,84.79837,80,75.68349,NaN
442,ENERGY,96.397125,95.22001,80,76.18561,NaN
442,FOOD,48.02033,47.410362,80,76.386154,NaN
442,METAL,84.18885,85.591324,80,75.68349,NaN
443,ENERGY,94.549416,93.39487,80,76.18561,NaN
443,FOOD,48.017662,47.407726,80,76.386154,NaN
443,METAL,81.05338,82.403625,80,75.68349,NaN
444,ENERGY,93.0274,91.89143,80,76.18561,NaN
444,FOOD,47.925316,47.316555,80,76.386154,NaN
444,METAL,82.32597,83.69741,80,75.68349,NaN
445,ENERGY,96.33222,95.1559,80,76.18561,NaN
445,FOOD,48.767773,48.14831,80,76.386154,NaN
445,METAL,81.94767,83.312805,80,75.68349,NaN
446,ENERGY,94.35835,93.20614,80,76.18561,NaN
446,FOOD,49.432407,48.804504,80,76.386154,NaN
446,METAL,80.913574,82.26149,80,75.68349,NaN
447,ENERGY,95.82125,94.65117,80,76.18561,NaN
447,FOOD,49.201775,48.5768,80,76.386154,NaN
447,METAL,81.38299,82.738716,80,75.68349,NaN
448,ENERGY,96.3872,95.210205,80,76.18561,NaN
448,FOOD,49.51378,48.884842,80,76.386154,NaN
448,METAL,81.19033,82.542854,80,75.68349,NaN
449,ENERGY,95.966324,94.79447,80,76.18561,NaN
449,FOOD,48.8676,48.24687,80,76.386154,NaN
449,METAL,80.073845,81.40777,80,75.68349,NaN
450,ENERGY,99.71872,98.501045,80,76.18561,NaN
450,FOOD,50.79124,50.146076,80,76.386154,NaN
450,METAL,80.97267,82.32157,80,75.68349,NaN
451,ENERGY,98,96.803314,80,76.18561,NaN
451,FOOD,49,48.377586,80,76.386154,NaN
451,METAL,81.44185,82.79856,80,75.68349,NaN
452,ENERGY,99.03955,97.83017,80,76.18561,NaN
452,FOOD,50.791176,50.14601,80,76.386154,NaN
452,METAL,78.065506,79.365974,80,75.68349,NaN
453,ENERGY,102.07132,100.82492,80,76.18561,NaN
453,FOOD,50.46887,49.827797,80,76.386154,NaN
453,METAL,79.46156,80.785286,80,75.68349,NaN
454,ENERGY,103.53111,102.266884,80,76.18561,NaN
454,FOOD,51.347904,50.695667,80,76.386154,NaN
454,METAL,79.92879,81.26029,80,75.68349,NaN
455,ENERGY,104.534996,103.25851,80,76.18561,NaN
455,FOOD,49.845287,49.21214,80,76.386154,NaN
455,METAL,80.29845,81.63611,80,75.68349,NaN
456,ENERGY,102.49479,101.24322,80,76.18561,NaN
456,FOOD,50.758762,50.11401,80,76.386154,NaN
456,METAL,80,81.332695,80,75.68349,NaN
457,ENERGY,102.90676,101.65016,80,76.18561,NaN
457,FOOD,51.6267,50.970924,80,76.386154,NaN
457,METAL,78.364525,79.669975,80,75.68349,NaN
458,ENERGY,103.64367,102.37807,80,76.18561,NaN
458,FOOD,52.243553,51.57994,80,76.386154,NaN
458,METAL,76.25878,77.52915,80,75.68349,NaN
459,ENERGY,105.30119,104.01535,80,76.18561,NaN
459,FOOD,51.316025,50.664192,80,76.386154,NaN
459,METAL,76.38051,77.65291,80,75.68349,NaN
460,ENERGY,104.1862,102.91398,80,76.18561,NaN
460,FOOD,51.33549,50.683414,80,76.386154,NaN
460,METAL,78.0365,79.33648,80,75.68349,NaN
