Tick,Commodity,GlobalPrice,NationalPrice,Production,Demand,Inventory
45,FOOD,49.93403,50.62619,80,75.68396,NaN
45,METAL,75.21753,76.26016,80,75.68396,NaN
46,ENERGY,101.67866,103.08808,80,75.68396,NaN
46,FOOD,50.239223,50.935616,80,75.68396,NaN
46,METAL,76.549934,77.61103,80,75.68396,NaN
47,ENERGY,97.9019,99.25897,80,75.68396,NaN
47,FOOD,49.614708,50.302444,80,75.68396,NaN
47,METAL,77.89536,78.97511,80,75.68396,NaN
48,ENERGY,97.42957,98.7801,80,75.68396,NaN
48,FOOD,50.887257,51.592632,80,75.68396,NaN
48,METAL,76.09343,77.1482,80,75.68396,NaN
49,ENERGY,96.07704,97.40881,80,75.68396,NaN
49,FOOD,51.610107,52.325504,80,75.68396,NaN
49,METAL,75.66656,76.71541,80,75.68396,NaN
50,ENERGY,95.06889,96.386696,80,75.68396,NaN
50,FOOD,51.16696,51.876213,80,75.68396,NaN
50,METAL,75.476654,76.52287,80,75.68396,NaN
51,ENERGY,96.52135,97.85928,80,75.68396,NaN
51,FOOD,50.547688,51.248356,80,75.68396,NaN
51,METAL,75.62872,76.677055,80,75.68396,NaN
52,ENERGY,94.04053,95.34407,80,75.68396,NaN
52,FOOD,51.395756,52.10818,80,75.68396,NaN
52,METAL,78.18118,79.26489,80,75.68396,NaN
53,ENERGY,93.84331,95.14412,80,75.68396,NaN
53,FOOD,51.75094,52.468285,80,75.68396,NaN
53,METAL,77.107735,78.17657,80,75.68396,NaN
54,ENERGY,97.02739,98.37234,80,75.68396,NaN
54,FOOD,50.348194,51.046097,80,75.68396,NaN
54,METAL,77.909035,78.988976,80,75.68396,NaN
55,ENERGY,93.24472,94.53724,80,75.68396,NaN
55,FOOD,52.16086,52.88389,80,75.68396,NaN
55,METAL,79.719086,80.82411,80,75.68396,NaN
56,ENERGY,94.70971,96.02253,80,75.68396,NaN
56,FOOD,52.421314,53.147953,80,75.68396,NaN
56,METAL,80,81.108925,80,75.68396,NaN
57,ENERGY,94.28428,95.5912,80,75.68396,NaN
57,FOOD,51.472992,52.186485,80,75.68396,NaN
57,METAL,77.09845,78.16715,80,75.68396,NaN
58,ENERGY,95.06107,96.37877,80,75.68396,NaN
58,FOOD,51.763664,52.48119,80,75.68396,NaN
58,METAL,80.611145,81.72854,80,75.68396,NaN
59,ENERGY,99.103836,100.47757,80,75.68396,NaN
59,FOOD,51.683662,52.400078,80,75.68396,NaN
59,METAL,78.56958,79.658676,80,75.68396,NaN
60,ENERGY,99.4849,100.863914,80,75.68396,NaN
60,FOOD,52.15892,52.881924,80,75.68396,NaN
60,METAL,81.2655,82.39197,80,75.68396,NaN
61,ENERGY,101.6015,103.00986,80,75.68396,NaN
61,FOOD,50.811203,51.515526,80,75.68396,NaN
61,METAL,80.69398,81.81252,80,75.68396,NaN
62,ENERGY,99.54143,100.92123,80,75.68396,NaN
62,FOOD,51.088512,51.796677,80,75.68396,NaN
